model,operating_point,seed,mAP50,mAP50_95,precision,recall
YOLO26m,source_val,2024,0.9862998456101483,0.643519126775291,0.9689329806588541,0.9513288252869948
YOLO26m,source_val,2025,0.9747751640823638,0.6233747361390386,0.9547051143392511,0.9455889290768988
YOLO26n,source_val,7,0.9682848339406189,0.6045598280801892,0.8903654131283845,0.9564790061330398
YOLO26n,source_val,42,0.9736404919818816,0.6103224080493381,0.9249463978279086,0.9536090580279918
YOLO26n,source_val,123,0.9691807302728508,0.6088154446723562,0.9103784088969025,0.9520652944323644
YOLO26n,source_val,2024,0.9707181458387343,0.6205758677355472,0.9447432434814758,0.9188944802641925
YOLO26n,source_val,2025,0.9778764688890518,0.6248241444698593,0.9247362406500625,0.9607666905653969
YOLOv8m,source_val,7,0.9826260084200278,0.6235018339008456,0.9545964467507333,0.95451328825287
YOLOv8m,source_val,42,0.9827537375702982,0.6292094417016693,0.9684364226633554,0.9396660521670485
YOLOv8m,source_val,123,0.9794797546680893,0.6352702958201156,0.952841088601863,0.9313964459820726
YOLOv8m,source_val,2024,0.9854491667818338,0.6430306691887765,0.9720240547201849,0.9444488127064004
YOLOv8m,source_val,2025,0.9728400988198138,0.6365760919280323,0.9438968366123291,0.9399017163053742
